data_files,lat,long,dis,name,lat_soil,lon_soil
149.225_-32.225.met,-32.225,149.225,0.377681018,Soil_494.txt,-31.5250211,149.893569
149.225_-31.225.met,-31.225,149.225,0.19362267,Soil_496.txt,-31.180331,149.864181
149.725_-31.225.met,-31.225,149.725,0.0102503,Soil_497.txt,-30.874219,149.984669
150.225_-31.225.met,-31.225,150.225,0.027639025,Soil_499.txt,-30.84705,150.36885
150.725_-30.725.met,-30.725,150.725,0.505839025,Soil_499.txt,-30.84705,150.36885
151.225_-30.725.met,-30.725,151.225,1.361989025,Soil_499.txt,-30.84705,150.36885
149.225_-29.225.met,-29.225,149.225,0.055965679,Soil_500.txt,-28.84113,149.67005
148.725_-29.225.met,-29.225,148.725,0.041400765,Soil_502.txt,-29.119589,148.83184
149.725_-30.725.met,-30.725,149.725,0.066249,Soil_507.txt,-30.28,149.807
151.225_-28.225.met,-28.225,151.225,0.00761,Soil_51.txt,-27.898,151.516
145.725_-34.725.met,-34.725,145.725,0.15802,Soil_513.txt,-34.749,146.263
145.725_-35.225.met,-35.225,145.725,0.13402,Soil_513.txt,-34.749,146.263
146.225_-34.725.met,-34.725,146.225,0.12002,Soil_513.txt,-34.749,146.263
147.225_-35.725.met,-35.725,147.225,0.044018,Soil_517.txt,-35.308,147.602
147.725_-35.725.met,-35.725,147.725,0.167018,Soil_517.txt,-35.308,147.602
144.725_-35.725.met,-35.725,144.725,0.139525,Soil_518.txt,-35.805,144.8
144.725_-36.225.met,-36.225,144.725,0.059525,Soil_518.txt,-35.805,144.8
149.725_-27.225.met,-27.225,149.725,0.014545,Soil_52.txt,-27.091,149.942
146.225_-36.225.met,-36.225,146.225,0.012717,Soil_520.txt,-35.921,146.574
145.225_-36.225.met,-36.225,145.225,0.05818,Soil_521.txt,-35.743,145.541
145.725_-35.725.met,-35.725,145.725,0.031842,Soil_522.txt,-35.526,145.804
144.225_-36.225.met,-36.225,144.225,0.074884,Soil_524.txt,-35.703,144.505
146.225_-35.725.met,-35.725,146.225,0.004469,Soil_528.txt,-35.5,146.413
150.725_-27.225.met,-27.225,150.725,0.00674,Soil_53.txt,-26.907,151.021
145.225_-35.225.met,-35.225,145.225,0.208157,Soil_531.txt,-35.354,145.729
144.225_-34.225.met,-34.225,144.225,1.340835739,Soil_536.txt,-33.39124,145.47503
144.725_-33.225.met,-33.225,144.725,0.423285739,Soil_536.txt,-33.39124,145.47503
144.725_-33.725.met,-33.725,144.725,0.257045739,Soil_536.txt,-33.39124,145.47503
144.725_-34.225.met,-34.225,144.725,0.590805739,Soil_536.txt,-33.39124,145.47503
145.225_-32.725.met,-32.725,145.225,0.839495739,Soil_536.txt,-33.39124,145.47503
145.225_-33.225.met,-33.225,145.225,0.173255739,Soil_536.txt,-33.39124,145.47503
145.225_-33.725.met,-33.725,145.225,0.007015738,Soil_536.txt,-33.39124,145.47503
144.725_-34.725.met,-34.725,144.725,1.228467758,Soil_537.txt,-34.02039,145.98584
145.225_-34.225.met,-34.225,145.225,0.263017758,Soil_537.txt,-34.02039,145.98584
145.225_-34.725.met,-34.725,145.225,0.467627758,Soil_537.txt,-34.02039,145.98584
145.725_-34.225.met,-34.225,145.725,0.002177758,Soil_537.txt,-34.02039,145.98584
146.725_-34.725.met,-34.725,146.725,0.009673296,Soil_538.txt,-34.44242,146.8822
146.725_-35.725.met,-35.725,146.725,0.009691197,Soil_540.txt,-35.40267,147.04178
146.725_-34.225.met,-34.225,146.725,0.099496631,Soil_542.txt,-34.28942199,146.949792
146.725_-35.225.met,-35.225,146.725,0.026631058,Soil_544.txt,-35.10378901,146.874778
145.225_-35.725.met,-35.725,145.225,0.039645,Soil_548.txt,-35.646,145.577
146.225_-35.225.met,-35.225,146.225,0.03541,Soil_550.txt,-35.104,146.612
144.225_-34.725.met,-34.725,144.225,1.328065,Soil_555.txt,-35.627,144.506
144.225_-35.225.met,-35.225,144.225,0.426065,Soil_555.txt,-35.627,144.506
144.225_-35.725.met,-35.725,144.225,0.024065,Soil_555.txt,-35.627,144.506
144.725_-35.225.met,-35.225,144.725,0.645065,Soil_555.txt,-35.627,144.506
148.225_-33.725.met,-33.725,148.225,0.02474,Soil_564.txt,-33.593,148.371
147.725_-32.725.met,-32.725,147.725,0.039602,Soil_567.txt,-32.674,147.974
146.725_-32.725.met,-32.725,146.725,0.040001,Soil_568.txt,-32.495,147.174
147.225_-32.725.met,-32.725,147.225,0.091001,Soil_568.txt,-32.495,147.174
148.725_-33.225.met,-33.225,148.725,0.104873785,Soil_570.txt,-33.25917,148.81969
149.225_-33.225.met,-33.225,149.225,0.510183785,Soil_570.txt,-33.25917,148.81969
146.725_-32.225.met,-32.225,146.725,0.036663844,Soil_571.txt,-31.80705,147.06696
148.225_-31.225.met,-31.225,148.225,0.01368401,Soil_572.txt,-31.01491,148.58496
148.725_-31.225.met,-31.225,148.725,0.15372401,Soil_572.txt,-31.01491,148.58496
147.225_-31.225.met,-31.225,147.225,0.463435454,Soil_573.txt,-31.51893,147.88436
147.725_-31.725.met,-31.725,147.725,0.010145455,Soil_573.txt,-31.51893,147.88436
148.725_-31.725.met,-31.725,148.725,0.120332795,Soil_574.txt,-31.7853,148.81993
148.725_-32.225.met,-32.225,148.725,0.060032795,Soil_574.txt,-31.7853,148.81993
147.725_-34.225.met,-34.225,147.725,0.04261,Soil_575.txt,-33.892,148.164
147.725_-32.225.met,-32.225,147.725,0.000713442,Soil_577.txt,-31.97028,147.94871
148.225_-32.725.met,-32.725,148.225,0.241460891,Soil_578.txt,-32.46341,148.96625
148.725_-32.725.met,-32.725,148.725,0.000210891,Soil_578.txt,-32.46341,148.96625
149.225_-32.725.met,-32.725,149.225,0.258960891,Soil_578.txt,-32.46341,148.96625
147.225_-33.725.met,-33.725,147.225,0.060734012,Soil_579.txt,-33.27749,147.62239
